,Episode Reward
0,99.25456851918352
1,227.08208326611148
2,233.06315081983425
3,204.6736889491673
4,265.14331031781404
5,231.74627054397263
6,232.44247714738762
7,243.42008938557535
8,209.7767823789382
9,263.3316422296522
10,96.76579316028895
11,208.57328328744575
12,251.54160495682044
13,247.82867871530394
14,263.55504379047215
15,235.05356541894923
16,246.32334686241614
17,224.93747925066245
18,248.5029556215974
19,-6.721143400819869
20,239.95107446624314
21,266.0425169391788
22,229.14768160009052
23,97.33611674947213
24,-207.60761381590123
25,260.2011105038989
26,202.5879539475476
27,250.24646044300835
28,-42.06278901151724
29,217.72793402345454
30,217.4480555823639
31,255.47676021869222
32,251.79198704694488
33,114.00465613439634
34,263.1532170455364
35,224.52736449518395
36,241.70861068011473
37,264.65397763327246
38,249.0899377332413
39,262.6200067626804
40,253.4045990356516
41,252.45151790104092
42,225.35373962317635
43,260.490931748861
44,225.64959542536755
45,251.08153175483207
46,255.0991923318947
47,233.8914186543865
48,203.2687994880672
49,197.90844063498866
50,252.34969358977634
51,264.4026887244492
52,211.59659110547932
53,242.80779040854532
54,213.0932282649436
55,259.03669184926184
56,241.1194692432784
57,254.638282176474
58,232.75508060230965
59,250.52657264025794
60,226.50147762431598
61,226.98827461095476
62,240.09068507161408
63,202.67912722275764
64,216.76652228416242
65,252.20205465242486
66,242.0184570825347
67,206.68327509206983
68,252.95761822397316
69,214.51636782419212
70,224.00415593271725
71,229.2856945398159
72,72.78309003023462
73,263.78503952631013
74,237.17903592264378
75,237.3578473225244
76,126.09219898569171
77,251.70830033828545
78,271.39942733431616
79,218.74863875494253
80,247.38089516215916
81,222.39509954926123
82,254.96416325900515
83,217.4774811238218
84,257.39285280638643
85,240.10573968737378
86,203.3964139964939
87,238.85888406436393
88,236.95536114384421
89,240.93135648511517
90,0.8344869428122053
91,256.46131492923837
92,230.36935900750865
93,238.79382419691316
94,204.885434151174
95,242.19608866538957
96,264.19344836530183
97,21.308542068365853
98,232.62359048373025
99,245.07333562144623
100,235.98299407173567
101,245.981683316384
102,245.18526211464342
103,231.26370386446547
104,246.08158091005168
105,205.5260735840907
106,255.50267573774875
107,238.04699235192192
108,249.76856126798086
109,243.00694388095783
110,212.46273485824202
111,204.41202620044166
112,179.71699859465633
113,262.9034711359144
114,273.27140223339586
115,252.5298495299832
116,243.9450885809242
117,223.12524586315072
118,250.51251308771225
119,254.68403867462828
120,235.02235680383032
121,261.0016523121542
122,227.19866714396477
123,231.53162326122512
124,239.1445412447976
125,241.74590926804424
126,233.8324326432458
127,202.9557609441024
128,257.63911904191593
129,230.50844394852473
130,224.57247351932088
131,253.76826110036015
132,235.48053669930331
133,239.5220046686562
134,241.06679685466355
135,-18.94102219218111
136,240.1824874248837
137,223.12768229914172
138,263.9981311191711
139,127.78613618277309
140,254.16719818611938
141,205.91180930494403
142,8.201125381585655
143,262.4911218034671
144,249.48042234589025
145,213.66574382930213
146,249.6501100693942
147,235.10305737417522
148,227.05667755089092
149,197.41386585953
150,219.84248514383475
151,246.66102194858328
152,258.218312530738
153,249.40148374173225
154,235.79607244566975
155,-11.034046934615233
156,244.94705934402987
157,10.162713145708096
158,228.09852424108138
159,251.4652146396149
160,213.74011989413748
161,245.61650900853812
162,242.10581510846498
