,0.0001,0.001,0.01,0.1,1.0,10.0
27,-170.39579788112653,-131.554075233209,-427.25141360502107,-781.0535672650491,-735.2250604084594,-405.71653489636105
28,-169.2380931333233,-131.87353111955474,-420.92530909220557,-790.8532381601467,-744.6210191351255,-405.3277780797699
29,-165.77401994669128,-132.34785996098753,-417.7382174946848,-790.6678660425658,-751.2276427938564,-407.32928798441526
30,-162.90738638121329,-132.54595769363996,-415.88003859128645,-792.745552449071,-757.4835230226414,-405.2971689551877
31,-159.1839572919328,-132.67786657975452,-413.67851180518085,-795.1653271838001,-759.008453325523,-407.06442385600036
32,-155.48569058267796,-132.04009196294115,-414.02587972230924,-791.3636491437815,-760.7648019171797,-409.73033824823875
33,-155.77974988821134,-133.38084467053625,-412.29950366329683,-787.9370524636391,-766.7910013724542,-406.68285020330615
34,-157.07353350102466,-132.1171927556148,-414.70803340252706,-774.9954929864298,-772.5251197286535,-405.08035651992583
35,-155.22919993758333,-132.4447537097881,-414.922955264488,-772.2561627316022,-777.3465094320694,-404.2991136808103
36,-154.12280334061978,-132.26665685751743,-415.65859000677386,-775.4566451888829,-785.1562895454389,-404.43083406376775
37,-153.84506663581112,-131.97995236687095,-415.59409934672607,-773.9474319478313,-787.0451963143418,-406.83236371247426
38,-152.8838768013914,-131.7630036511092,-412.7767447655962,-772.5529365021237,-790.443296234392,-408.9737634175368
39,-154.31628552858348,-131.9195872204604,-412.00673851055865,-793.3241125196605,-800.7893828502123,-408.714351203631
40,-156.24396189485375,-131.70708127450555,-407.3714758189211,-793.3366537374302,-800.8774932762971,-407.70130028253084
41,-154.42497127981892,-131.53531603526508,-402.59043573784436,-775.4095707299737,-798.4070377584969,-409.4385041530815
42,-149.2198511371318,-132.48154331449123,-397.8642798667731,-796.4519859577711,-795.3742774599768,-410.6725828900204
43,-149.1414850474755,-132.01233895849248,-393.3190948737588,-793.3962990325024,-797.2916184585987,-410.9534579196505
44,-145.4748764872729,-132.35123338551784,-388.8700464827418,-792.89968122496,-798.2205418246648,-409.578098423376
45,-146.90483218200723,-132.30634421375416,-385.25430701154806,-794.0899328772216,-797.3736914441099,-406.8625845508866
46,-147.0749996192823,-131.72288550349865,-381.2103471878187,-797.7933318379307,-795.0183015956214,-407.9958537796437
47,-145.3500210542015,-130.9304603612749,-378.498012275604,-807.521552238064,-797.6811767264063,-404.3534938448055
48,-144.15384139715283,-131.42781842894792,-377.03880496749923,-818.7424049530615,-797.2075481287112,-406.8175844553942
49,-140.87911017173212,-131.40983541625658,-375.1022627660894,-817.999279369649,-791.6717887330426,-409.2210457044291
50,-140.7137019381962,-131.2368387426546,-371.45490283017796,-817.1059005374907,-802.8752670439945,-406.2928290613884
51,-139.8332875449045,-133.15238874897727,-366.8412801415945,-818.7735922313311,-803.3376346676736,-404.42147969113967
52,-136.40294465089227,-133.4068812327693,-365.3454095210449,-817.5418724344262,-801.5617590351471,-401.5678797217516
53,-133.38104871372988,-132.8884157127411,-363.5666887886393,-820.422316828713,-806.103563722059,-399.6444509339847
54,-130.71355487782142,-133.38634682071898,-361.8064089696639,-788.643353555355,-807.9456187826097,-401.8910912829413
55,-126.96030609707273,-134.30597146529925,-360.6647250643296,-788.7709314912053,-808.1576135501429,-400.6273688629946
56,-124.2959797960153,-133.5413944519446,-362.9197966822773,-788.6225876832136,-793.7303853762767,-399.8408059113179
57,-123.69233249976159,-133.69185569285216,-364.3909223823173,-786.7742328102408,-791.9319726404104,-400.9057316921191
58,-117.35692969042559,-133.8247911057393,-365.44070345916373,-784.617779542019,-788.04683624355,-400.91677515421145
59,-114.9474074843944,-133.74954379245298,-364.8396092643376,-783.1349757211023,-787.3123449184163,-400.606598335772
60,-111.7220990015217,-133.4163541510681,-366.3576063745088,-781.6175508337535,-789.6386175568774,-399.2620879021597
