,0.4,0.3,0.25,0.2,0.1,0.05
40,-127.99287628957286,-128.04010466074814,-101.3295000986301,-466.05524930016577,-261.62022084721093,-139.91309613239233
41,-127.50709780435814,-128.21377512139057,-99.69477228092951,-459.9522687661224,-261.17291230232615,-137.16594626368385
42,-127.56753761327863,-128.7452581928093,-99.75020470555239,-457.1042534844627,-260.81004119882795,-137.55260634598378
43,-128.53903149973746,-128.47043821235764,-92.68965114610181,-437.6642923605607,-260.3464549191683,-137.3334947953147
44,-128.9667383264239,-128.67475086464935,-87.88553235662214,-435.84693401241105,-260.38133872801524,-137.61152997745995
45,-129.3842428568367,-129.23069914699929,-87.35213647900429,-430.96881617942745,-260.02359469548037,-134.29767893916195
46,-129.4002757948056,-129.19878556529736,-82.3884914289808,-427.41095976806685,-259.7565113385133,-131.53016825518034
47,-131.0020938736027,-127.84108556740777,-82.0410692242513,-421.97661893093647,-259.6193636232881,-131.5396397825871
48,-131.1353645849398,-128.37629677981542,-77.36826775136369,-419.75745368025446,-258.82670269535396,-131.32106005451126
49,-131.70899775580568,-128.12242632287672,-74.18713567503156,-416.2607222493072,-258.0278557200058,-131.89694886402162
50,-131.53978558735366,-128.13844573929111,-67.32156845754022,-413.17319152031666,-257.9535426992975,-129.74303687312093
51,-131.3724781021956,-129.5754006575605,-57.08750229263803,-408.5631257150164,-255.35353286742466,-130.98870512638143
52,-130.79089517815072,-129.10043576215264,-47.40869167664259,-411.17902800379596,-265.19362984703116,-131.34193210825327
53,-131.48359729743686,-129.25734538390833,-43.54120917999758,-408.02657319020915,-261.72795634244585,-132.41507901248286
54,-130.50357860768474,-129.55826251037624,-39.166567606127344,-404.0056750823533,-258.0949781302173,-131.72329344260518
55,-130.6555427968531,-130.0022072580455,-36.630588909243926,-399.9082419533049,-276.90423239015286,-131.44998985312608
56,-128.33416146973445,-130.12308450365376,-34.54947632929193,-399.75619968015667,-277.2999833443923,-132.8543333699174
57,-128.39229498596083,-129.60753960319957,-30.531272094055993,-397.0210548165656,-274.246509628232,-130.94737401910928
58,-129.25979357860325,-129.63354101517618,-26.89662817663121,-398.72023051751086,-275.723874646979,-129.1502112991363
59,-129.85448370071003,-129.07502941446677,-26.01703208580742,-394.4564695960752,-281.05014644205943,-127.4006087537286
60,-130.6812731538987,-129.10003957200303,-25.500563696576542,-393.5664015428024,-281.18973776099233,-127.30964523784625
61,-130.25381512796153,-129.8876150444088,-24.629584139961704,-390.4011668472805,-285.68134157499264,-129.9282840813748
62,-131.0388896708254,-131.55412033420455,-21.376414533203178,-401.64623933126137,-284.64929229312486,-128.40370170643698
63,-131.09586991731717,-132.0810391747577,-19.16818991887617,-405.01378674590285,-284.34404410512695,-127.8087250208395
64,-132.3737851289536,-132.4583811530208,-17.365947127674005,-408.66028628106426,-282.9853375756635,-127.83742526741145
65,-132.20902811753905,-132.58190463142924,-17.43928462895178,-411.5543275902612,-280.81280836143577,-127.37655739722182
66,-132.20255723937825,-132.55858650950583,-16.33397100594352,-412.9944049879139,-280.3747280279459,-126.65831275967894
