,0.99,0.97,0.95,0.9,0.8,0.5
26,-153.06068111117207,-202.58726587632464,-275.1400482387031,-152.64575551327144,-632.6061025888981,-100.23320752918704
27,-150.73038022422142,-200.94486670576148,-273.0929112419832,-150.6027955789691,-627.8947081987752,-99.99147888964683
28,-147.56667218055833,-199.86397405605356,-272.8644085727779,-149.17408114793704,-626.4530917817916,-102.04096389182682
29,-144.23664122530747,-199.78329464239133,-269.6859895301145,-144.70209559838008,-625.4694746171376,-100.41766642747895
30,-140.56903955617145,-197.37492116327724,-264.8529288743189,-143.5074101741073,-624.1825904441906,-100.46573134628268
31,-139.18046330104357,-198.1911482558441,-259.78028274247146,-144.6744296539104,-623.3557009326153,-100.59276279133988
32,-138.54593918400394,-197.49469647697256,-255.46336035839667,-143.99133536047876,-616.9948496755661,-101.12356260482284
33,-139.8683747585197,-196.86113903673754,-253.23736865795414,-143.88893051884145,-616.8808982371953,-102.31421975426183
34,-149.10140948134688,-196.22877227135447,-250.20163352251228,-143.13982696553185,-612.877646060726,-101.34081636488149
35,-152.16462605002656,-196.45059660141604,-249.3864182625305,-141.95630071684732,-614.2528979426265,-103.62597435134019
36,-160.13550618317478,-195.65121865563867,-248.72675839960027,-140.94901869282458,-610.8078224936457,-103.7771775773839
37,-167.02615278410974,-193.79925643446055,-247.90037985483505,-141.40203389805723,-612.048694390844,-104.04314977473052
38,-169.82891334302556,-191.10542216211346,-247.6612265820203,-141.93235037748858,-615.2801281038977,-106.36678159278415
39,-171.3550559637893,-190.51465041561644,-247.59325941788623,-140.0526062521554,-613.2735466197809,-105.69832769472505
40,-172.91394689446352,-189.44089293798226,-245.68623477166594,-139.033862183331,-607.2444200864642,-106.5267759766984
41,-183.10944686499752,-190.142365577536,-244.57553240933726,-138.23111385874932,-608.3060527866737,-107.14395617926837
42,-190.56868569074126,-188.38079900772559,-244.18007033505674,-138.10878219203028,-606.1063763043181,-110.14312104273772
43,-188.63300273722598,-187.8832343034028,-242.15055629119763,-138.73659424823794,-604.0742798911891,-110.13787321907857
44,-186.60632766546644,-187.7513413388077,-238.90352580274418,-138.01194922224246,-605.2673751509377,-110.48710195617481
45,-195.82149936748826,-184.8099738006148,-238.55333885841222,-137.73757374907672,-607.5450998905484,-111.73688010410042
46,-197.28860435898216,-181.33765213937576,-241.120806552666,-138.33991415937717,-606.5119950689848,-107.36190249811224
47,-213.40968259530374,-179.95674032423528,-241.4867928728889,-138.01760924862256,-601.4650650609673,-108.98383177459144
48,-212.73535792920057,-178.35273244167703,-238.9355074112296,-137.59117770076932,-596.5705812377334,-108.49739386841392
49,-209.8282060573595,-177.50562888691627,-234.72558956175263,-136.78362141111845,-596.4094453429142,-108.34050329204975
