,All Rewards
194,-32.37366236957203
195,108.04911293416164
196,64.90646411624519
197,18.651399039309158
198,76.43190028664539
199,84.85863991359929
200,55.606237717672926
201,88.53268016400988
202,116.8593909031178
203,-48.26232033891364
204,63.956863328415515
205,84.63467460242978
206,-67.86380822127893
207,90.88770286763378
208,62.679698371383445
209,105.24920340835358
210,90.67857371305868
211,9.420482776353523
212,90.2400406309137
213,-40.81574105316653
214,-53.445791333678315
215,93.75706832465394
216,128.08497814349505
217,44.06414223152669
218,91.93437194729447
219,19.027542397157582
220,112.13255054933695
221,64.50421547560775
222,74.6666051672262
223,68.55306458993766
224,98.73402020079735
225,100.42298688202655
226,-96.12723022426886
227,115.23892719942373
228,134.6030306855748
229,-24.534335999874656
230,-7.825978937352744
231,82.27800217628204
232,78.69808643206105
233,89.86386045063179
234,-22.095441650817648
235,77.41025306168295
236,86.0234475534823
237,59.31537727536856
238,81.25556116782592
239,-8.378041762834414
240,67.15923441943646
241,101.40423683285061
242,84.31619907989545
243,81.50464008771976
244,-10.444488955962754
245,-61.85516039867922
246,42.76867322552074
247,69.78352695949675
248,137.4304446196482
249,-82.2577737779745
250,-76.47925311906573
251,-78.1680412026261
252,67.6835355683355
253,67.95576146950688
254,-25.82662910316627
255,63.834301055290446
256,-38.19756035023824
257,90.0156390451075
258,102.07621003000503
259,-56.16620345699788
260,67.4234602328695
261,59.429108821227274
262,-3.884760114832801
263,-68.33484392501924
264,100.279096147962
265,-73.621563416736
266,-21.468571702021947
267,51.6258854921362
268,-60.53098040357192
269,-43.23330288057353
270,85.17729170034433
271,-38.993684526595246
272,36.50748292846794
273,170.55395143610272
274,67.75984207738105
275,72.72562818997066
276,73.81375421084495
277,54.98772931509121
278,50.17820471655705
279,23.844200257053235
280,129.61873734204454
281,-47.24671744562403
282,96.41779038156199
283,67.86733431724896
284,19.185252178126444
285,-74.08167861620056
286,40.31407021958135
287,137.48454646723295
288,-146.0373113485803
289,36.11618576642352
290,-11.13370097089358
291,45.982579022380406
292,51.7292870530886
293,51.25494669913337
294,-93.45025281071545
295,154.145768582566
296,-76.3275133035119
297,22.228277375844833
298,-4.670963863477072
299,-27.60763573378729
300,81.42073617540555
301,26.711935333867082
