,Loss History Policy
0,-8.050724125605903
1,-4.136050745329577
2,-3.6020574288324143
3,-0.6496999511040515
4,-2.4272993757164367
5,-0.8994863670307074
6,-4.063005177300541
7,-1.3820061183121546
8,-4.923411823221956
9,-4.129905727849327
10,1.152705220726738
11,-0.19831223489809013
12,-2.46467118473828
13,-0.6129237853750942
14,-2.653215966215434
15,0.19750205677048738
16,-2.847387270721454
17,-4.98308385099503
18,-1.8432352500903921
19,-1.9276277028152735
20,-4.219971244348356
21,-0.1862567836447504
22,-1.8175121615974004
23,-2.233100930576378
24,-11.265798864905443
25,-2.1698613244858436
26,-10.53187851128661
27,0.2947840905611552
28,-1.030815901736586
29,-2.4100909589714545
30,-6.171110123851607
31,-0.9899881099016989
32,0.05339457874861164
33,-3.1539999695797065
34,-0.9181335492870812
35,-1.6229429594337808
36,-3.2982164147584765
37,-2.800341696688558
38,-3.387346585835257
39,-5.995373255257556
40,-1.0636785537584337
41,-9.197482509035119
42,-2.4106222695195694
43,-3.9106094258940685
44,1.6278098676341428
45,-1.0407065099727377
46,2.6430796448534553
47,0.7978273449891535
48,-1.607591921499198
49,-2.43259591344464
50,1.9093504464367876
51,-2.794319697247377
52,-0.38962511057203275
53,-3.9325747963165734
54,-1.7477374654571414
55,-5.164347225280909
56,-1.07960135026096
57,-5.287646699877307
58,-2.8581024322666604
59,-3.1896540810717666
60,-7.835657401827141
61,-1.291411175619602
62,-0.44149078478438986
63,-4.868173551863695
64,-1.4888714745130747
65,-5.907082702587411
66,-1.5755981721492294
67,-4.680226554985656
68,-0.12132612510389928
69,-0.6899906446893345
70,-2.230290451850029
71,2.027411661005776
72,0.1890359830099091
73,-0.21271733286671302
74,-1.3250730818783505
75,-2.6408621849693117
76,-1.7321078020189198
77,-5.438023340455547
78,-7.175558033146814
79,-3.707878254472618
80,-4.992706418483113
81,-3.407683828131363
82,-3.8870234856087613
83,-3.7552796291153507
84,-0.31747413410237035
85,-4.402778867548516
86,-2.4911072463423363
87,-2.5597131162917104
88,-1.3903558880345273
89,-0.5706139597787028
90,0.3703532635392921
91,-0.4842232651180144
92,-0.8301129430902008
93,-3.2692963455588337
94,-1.996779108343822
95,-3.2454976749843665
96,-3.867668870994967
97,-8.913235239038329
98,-3.618953833297641
99,0.9845286982664108
100,-3.024925831866078
101,-3.5473051419880313
102,6.975759478011504
103,-3.367446281007246
104,5.7999513631769535
105,1.3670255978819124
106,0.9514550934556563
107,17.591089327279445
108,-4.998000210312192
109,-5.984985278733175
110,-4.298662770212234
111,-4.2728364915042905
112,-3.8081740143779914
113,-7.145397754380618
114,-12.093084734015074
115,-1.2693839311078543
116,-0.6754204785918685
117,-5.966969520345016
118,-3.462343331076073
119,-7.0784814805380565
120,0.32822173073400673
121,-13.449949515935426
122,-0.29840711096442796
123,-0.2875265709753161
124,-1.336567851886231
125,-10.244904203226962
126,-2.2159315160354236
127,-6.696130098585314
128,-0.32743357784337057
129,-11.954932096976405
130,-10.481993081690415
131,-2.9503775720179672
132,-7.582637544200132
133,2.1390409589293995
134,0.023951032514618387
135,-6.841525486795491
136,-7.923297539781346
137,-3.3043824578594228
138,-2.165628471876712
139,-5.496121713974567
140,-5.208607369513158
141,-9.257291879968665
142,-10.462233315074533
143,-3.9312445295286724
144,-6.911840358956397
145,-1.0586405242899866
146,-20.599575187779845
147,-7.387164289820565
148,-7.8981285121516365
149,-6.519325919769439
150,-13.74504342818671
151,-1.3665004898736122
152,-9.277398046244286
153,1.4473588003041726
154,1.5300311152774553
155,-3.649012067444529
156,1.3429063693620527
157,-0.15128516685869364
158,-9.812653144220596
159,1.6828595527484271
160,-7.562915931493624
161,4.449376753580446
162,-8.824299106639145
163,-2.2288315513017007
164,0.5059932173182395
165,0.3138572100807029
166,-11.860655608343258
167,-8.724410052206068
168,-16.978144536858213
169,-3.868955064278903
170,0.7215961766065391
171,-1.884093828729215
172,-1.564518994864653
173,-3.7114971159806522
174,0.6462976492764718
175,-11.786810663206364
176,-16.769935307042637
177,-3.1812899761713727
178,-1.3358134636901302
179,-7.442457083184887
180,-5.26168332958701
181,-2.7552268292166993
182,-8.113810543021419
183,-1.9931401950328613
184,-10.87294706064398
185,-3.0853648653061043
186,-3.711969723925508
187,-3.7970857139153904
188,-4.1038036437666925
189,22.968493848457488
190,-3.67487551951832
191,8.027585850593049
192,-8.914276088873308
193,-5.451481528878556
194,0.23275219502439137
195,-16.803690405179697
196,-0.6592175929705419
197,-14.489596936054541
198,-8.429685297776887
199,-1.6844103271660904
