,Loss History Value
0,0.172216705244367
1,0.0420301243765562
2,0.3605644867932427
3,0.4165271086648285
4,0.3456861922847757
5,0.36693782123621815
6,0.2135178091481026
7,0.2504715474245204
8,0.07318309990997257
9,0.1283763646882341
10,0.506803378606794
11,0.3169670349804605
12,0.09506566540363355
13,0.08485450437852177
14,0.019684625155047996
15,0.5050940670724536
16,0.2810003820110135
17,0.1961348519535627
18,0.14855791275630764
19,0.22975747725433548
20,0.35490545574153465
21,0.10684516821013053
22,0.2468799088193127
23,0.21322341363900074
24,0.14037053221246856
25,0.43030674301022526
26,0.3249833844561899
27,0.32393296364710183
28,0.3609479045370171
29,0.24516509945695758
30,0.3028796487418727
31,0.21173558349257146
32,0.2461602680822535
33,0.39981627375687445
34,0.20813011610497978
35,0.09064337296089675
36,0.12351639717275849
37,0.16148418481971802
38,0.218478488259338
39,0.2280195002065102
40,0.4748144284656388
41,0.22081228992565807
42,0.0613670806014785
43,0.14134463537626654
44,0.48106917442907227
45,0.1423988708472924
46,0.41554436896103614
47,0.04388730909619791
48,0.5999878817993332
49,0.43918275861856015
50,0.33609645408782735
51,0.2299888860597681
52,0.17239140086796131
53,0.5889654612786334
54,0.35385174817790754
55,0.14224105267777745
56,0.4254521212826093
57,0.3502752904045211
58,0.3561262746650693
59,0.293316244791032
60,0.23393280091826107
61,0.27127659092395046
62,0.1127498785502194
63,0.23826660928682236
64,0.39859431654313005
65,0.19108231438705914
66,0.0807257836790387
67,0.23905344223355063
68,0.3098326750029071
69,0.5364570727764323
70,0.315754386961852
71,0.3906302242619742
72,0.43627443967731266
73,0.4314252018391031
74,0.3816213123731465
75,0.26538130963591483
76,0.24216885464080395
77,0.3628675046507214
78,0.3972767844560155
79,0.20652276619726673
80,0.31263742939179706
81,0.33764042096405716
82,0.18813118022297717
83,0.1182268919917573
84,0.1593653226869686
85,0.2715145687297746
86,0.3660005817295478
87,0.33067434964342163
88,0.3750487427927842
89,0.123739294284012
90,0.38340277052610594
91,0.20647696461067352
92,0.23229853958283994
93,0.08288859866355053
94,0.15250865417108403
95,0.1766171646151895
96,0.1998924654993842
97,0.36371502224691665
98,0.3320547335528405
99,0.3371372046371801
100,0.3489665650300703
101,0.29202961575507885
102,0.3698310836126884
103,0.41202647376210194
104,0.42607795239012947
105,0.3684820963704412
106,0.36492039713705793
107,0.47852069991924706
108,0.4182530760575852
109,0.44726004464288077
110,0.28175212122525306
111,0.30582366692785856
112,0.19409591307629684
113,0.12206494556644053
114,0.3420144904518048
115,0.41650029078857825
116,0.32836404318063384
117,0.42789899901319595
118,0.4086127995152864
119,0.25818435246190224
120,0.36796045449184034
121,0.41320513986781254
122,0.2973366155203279
123,0.3532282823662019
124,0.17531025979166076
125,0.4070884287373664
126,0.20659800263492992
127,0.16832565111393155
128,0.3387227869856445
129,0.21422549873539093
130,0.3358878081724988
131,0.2682331540145936
132,0.16222052064717854
133,0.10522311699815484
134,0.14153218529089967
135,0.4332064417227754
136,0.5000602069230978
137,0.24651159155515692
138,0.20894664477563887
139,0.11003748838767712
140,0.08039525500706819
141,0.08773176420627272
142,0.31760779234644765
143,0.19294854051933458
144,0.42974349950759666
145,0.24783100287440712
146,0.3516411038408301
147,0.1767758124706481
148,0.34087409190870654
149,0.47383009368278506
150,0.27932080238110046
151,0.3806309228002934
152,0.29336829308822304
153,0.30509857408663493
154,0.3703823466620284
155,0.3216458788798274
156,0.36514931357336716
157,0.16008309797095227
158,0.180882032927381
159,0.10810763978509781
160,0.2405116762525799
161,0.20286569276712205
162,0.33271894685880515
163,0.14087296516465436
164,0.15957539367296605
165,0.1042617672215448
166,0.07127402446866013
167,0.17980194100813854
168,0.24014909254182704
169,0.18958265741254057
170,0.17676408067164842
171,0.16761915257623172
172,0.27095964843609044
173,0.2252128138720035
174,0.2531936931262021
175,0.23941447209680444
176,0.22260161153299207
177,0.15037625346282574
178,0.2020585072526638
179,0.18853193405009316
180,0.24943733456361109
181,0.2799936212299939
182,0.14184252634803696
183,0.12947023328686932
184,0.1503854813862666
185,0.035598607287812334
186,0.24631285767284655
187,0.5407254614959551
188,0.27879111420417324
189,0.41492920424492513
190,0.30250934620407155
191,0.4106973608583044
192,0.24447823329205953
193,0.3832841365530136
194,0.4367912731304662
195,0.4405138221967339
196,0.13220998108000806
197,0.3367111950111182
198,0.41211552002719337
199,0.3260070709184469
