,Mean Rewards
429,33.28654175332028
430,30.43421427632769
431,29.7016029251091
432,31.045900095694392
433,31.493970760719925
434,32.61990485631306
435,32.967873966289275
436,32.44790475129125
437,32.64723421654199
438,34.42563634053328
439,33.70279699736072
440,34.07320885111433
441,35.5842710497052
442,33.270166020099644
443,32.27099375067775
444,31.982883693899517
445,30.20164493535403
446,29.316776736605867
447,26.35183328579042
448,28.869356049027417
449,26.550545531828824
450,26.566926277102542
451,27.28056321283027
452,27.80235786505185
453,28.831065151349335
454,28.999859566380202
455,27.557633475596727
456,26.65319879674691
457,25.53563930497389
458,26.99157862244145
459,27.225653513867563
460,25.82842751447587
461,25.67183254504058
462,26.660512897976282
463,26.541898198481444
464,26.108909368703927
465,27.68250594871823
466,29.064743936469878
467,30.641742257367397
468,32.773847238615424
469,29.661401002696213
470,29.35072481403955
471,29.35453129201526
472,29.482999626047008
473,29.49577619559123
474,29.721090985223835
475,28.576323665863224
476,29.408891932556703
477,32.52120221558338
478,32.18878973279006
479,29.67234306243764
480,30.922868517356097
481,31.124890623522415
482,29.40515675696414
483,28.49711310518022
484,29.973111773481325
485,27.93493361051553
486,27.15428660277685
487,26.55592057539137
488,28.59805154138589
489,28.708592989249386
490,28.281199318025465
491,29.557481664935978
492,29.896843887631743
493,31.13513524500192
494,29.484660201168705
495,29.09135747722044
496,27.77273445695109
497,28.46063458322581
498,30.931445372936818
499,28.697051934670807
500,26.55797759435362
501,28.367971999951056
502,30.04793291400931
503,28.090704617787964
504,27.075188795124742
505,25.17164932369993
506,24.897832554022067
507,25.675344692988684
508,27.776831314603747
509,28.49017000016631
510,27.852128377877833
511,29.201488479139854
512,30.349862152293014
513,30.34427647896669
514,32.03913495435656
515,33.11913157191115
516,34.51279506179316
517,36.18921072263523
518,36.24434177992611
519,36.13002558039385
520,35.309995568948885
521,35.24971355431898
522,35.33504129865518
523,36.24607132379587
524,36.79174828110216
525,37.287919527721144
526,38.06901435122543
527,39.8569075228822
528,42.59723240027422
529,45.179177598052526
530,48.25906645969797
531,51.37133513481187
532,49.41144351741579
533,48.44176892381825
534,47.8179942750044
535,48.96900680353069
536,50.472221310572614
537,51.731505021630625
538,51.99940656272129
539,54.070566233277496
540,55.672954768601684
541,54.26988466765179
542,55.25449669460119
543,56.46211911675013
544,56.30436995574587
545,58.65807843042307
546,58.00695038938964
547,60.09240949301222
548,58.988056765907
549,60.98606893677859
550,61.457617656442224
551,61.82454579566745
552,62.266450325300546
553,61.632523765058316
554,63.19155085456351
555,64.74740647068846
556,65.78150590013837
557,67.2976282916639
558,65.89224555408127
559,68.91674180314907
560,69.54725753405202
561,68.88427607848635
562,69.09844840801443
563,69.5403705135138
564,69.34669821327117
565,69.55774256952863
566,69.01070483559043
567,69.53040503909693
568,67.77858413644131
569,70.1679440391934
570,71.06161788312275
571,69.29497507269545
572,69.49275672996681
573,70.79072522987991
574,73.96131316974702
575,74.2753973713715
576,75.87077261735605
577,75.95305318987154
578,76.38242751810375
579,78.64446154236971
580,80.5734535600524
581,81.39466925106063
582,80.477275507669
583,82.60694813986869
584,82.92819716064477
585,84.8297708100708
586,86.53348110941286
587,85.178166377443
588,83.08623867542545
589,83.48488265588557
590,81.22433859777777
591,81.52465274844434
592,80.58008283433497
593,79.59710165600904
594,82.47071041307923
595,82.35928551293782
596,84.35856350332928
597,85.57839783071522
598,84.42627060650744
599,86.102126042453
600,89.17250495105729
601,89.87050773074935
602,88.30833566662095
603,87.88929341280091
604,86.59612871668816
605,89.30150789110498
606,87.99898575846787
607,89.44295836567464
608,87.97978081758943
609,85.3509093870037
610,85.61520668309248
611,83.07593163954982
612,84.08639682794745
613,84.34161855017216
614,83.57257358983861
615,82.12756304266219
616,80.73718330957037
617,79.44287075435156
618,78.56284225986973
619,79.82267891643181
620,82.44152411318505
621,83.93086424450766
622,83.97851712961936
623,84.93381093661979
624,86.0530752593856
625,84.99985251133259
626,84.63439218946897
627,85.73314085965708
628,84.71498456410711
629,84.78991562449195
630,84.92249344772999
631,84.9596957173698
632,85.98994868996832
633,84.86295927263653
634,86.33108810899992
635,85.12917680053704
636,85.665397045383
637,84.60795619260396
638,84.37100358668336
639,84.52518697059102
640,83.9304432613161
641,85.02505558905165
642,83.93423423180556
643,84.15693851247963
644,84.6032097541314
645,83.77229523934857
646,85.00640057068807
647,84.60020189839126
648,85.59547947426648
649,85.88970818596279
650,87.1773810719348
651,86.3102242950017
652,85.33814825494147
653,85.01088520522717
654,84.91721976899719
655,84.873496461911
656,86.21026169540488
657,86.28134792890073
658,88.22043928090507
659,86.91975800799344
660,86.43357543126578
661,86.57021950777359
662,86.59116172539615
663,86.76087257303169
664,87.93156618779916
665,88.08760058832671
666,89.41238360691543
667,89.30567445897267
668,90.82743661433572
669,90.71650167509038
670,91.99383253808432
671,93.65205753731716
672,93.91721212731755
673,92.97993059094884
674,92.24836071285766
675,92.45283134316743
676,92.39123239942106
677,92.37558926175751
678,90.8496344634346
679,90.46819901031384
680,89.87639843321838
681,90.0210867056972
682,91.47698076418219
683,91.86758283425321
684,92.04099948133279
685,90.8144812095015
686,89.94038333560795
687,91.79888768222303
688,93.30275633541304
689,93.39384406938312
690,94.73401943076249
691,94.9700578422575
692,96.25951474807198
693,97.69462753704347
694,97.41214068005611
695,97.27397485140959
696,96.3035685939219
697,96.72551985003781
698,96.7679712442276
699,97.21330172694351
700,96.29405047696808
701,95.69821055350126
702,97.48113459847649
703,98.90545954612618
